01-ai | 01.AI | AI API / SDK for Developers | usage | free tier | high lock-in
mystic-ai | Mystic AI | Backend-as-a-Service | usage | free tier | medium lock-in
mysugr | mySugr (Roche) | Developer Portals / API Management | freemium | free tier | medium lock-in
mythic-ai | Mythic AI | AI API / SDK for Developers | custom | no free tier | low lock-in
n-solid | N|Solid | Performance Monitoring / APM | subscription | no free tier | medium lock-in
n26-business-api | N26 Developer (TransactionAPI) | Payment Gateway / PSP | free | free tier | high lock-in
n8n | n8n | Developer Portals / API Management | subscription | free tier | high lock-in
nabla | Nabla | AI API / SDK for Developers | subscription | no free tier | medium lock-in
nacos | Nacos | Developer Portals / API Management | free | free tier | low lock-in
nakama | Nakama | Backend-as-a-Service | freemium | free tier | low lock-in
nakivo | Nakivo | Object Storage / Media API | subscription | free tier | medium lock-in
namescan | NameScan | KYC / KYB / AML API | usage | no free tier | low lock-in
namespace-cloud | Namespace Cloud | CDN / Edge / Acceleration | usage | free tier | medium lock-in
nami-ml | Nami ML | Ad Monetization / Mediation | unknown | no free tier | medium lock-in
nango | Nango | Developer Portals / API Management | freemium, $0/mo | free tier | low lock-in
nango-auth | Nango Auth | Security Scanning / Mobile App Sec | freemium | free tier | low lock-in
nano-stores | Nano Stores | Backend-as-a-Service | free | free tier | low lock-in
nanoid | nanoid | Developer Portals / API Management | free | free tier | low lock-in
nanotron | Nanotron | AI API / SDK for Developers | free | free tier | low lock-in
nanovms | NanoVMs | Backend-as-a-Service | freemium | free tier | medium lock-in
napier-ai | Napier AI | KYC / KYB / AML API | custom | no free tier | high lock-in
nari-labs-dia | Nari Labs Dia | AI API / SDK for Developers | free | free tier | low lock-in
nativex | Nativex | Ad Monetization / Mediation | custom | no free tier | high lock-in
nats | NATS | Messaging API (Email / SMS / Voice) | free | free tier | low lock-in
nats-streaming | NATS Streaming | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
naver-cloud | Naver Cloud | CDN / Edge / Acceleration | usage | free tier | high lock-in
naver-hyperclova-x | Naver HyperCLOVA X | AI API / SDK for Developers | usage | no free tier | high lock-in
naver-pay-api | Naver Pay API | Payment Gateway / PSP | usage | no free tier | high lock-in
navicat | Navicat | DBaaS / Serverless Databases | subscription | no free tier | low lock-in
navitime-api | NAVITIME API | Maps / Geolocation / Routing | usage | free tier | high lock-in
navro | Navro | Payment Gateway / PSP | custom | no free tier | medium lock-in
nbomber | NBomber | Test Automation / Device Cloud | freemium | free tier | low lock-in
ncc-group | NCC Group | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
ncrunch | NCrunch | Test Automation / Device Cloud | subscription | no free tier | low lock-in
ncsoft-varco | NCSOFT VARCO | AI API / SDK for Developers | custom | no free tier | high lock-in
nebius-ai | Nebius AI | AI API / SDK for Developers | usage | no free tier | medium lock-in
nebula-defined-networking | Nebula (Defined Networking) | CDN / Edge / Acceleration | freemium | free tier | low lock-in
nebulagraph | NebulaGraph | DBaaS / Serverless Databases | freemium | free tier | low lock-in
nemo-guardrails | NeMo Guardrails | AI API / SDK for Developers | free | free tier | low lock-in
neo4j | Neo4j | DBaaS / Serverless Databases | freemium | free tier | medium lock-in
neoload | NeoLoad | Test Automation / Device Cloud | subscription | no free tier | medium lock-in
neon | Neon | DBaaS / Serverless Databases | freemium | free tier | low lock-in
neon-acquired-by-databricks | Neon (acquired by Databricks) | DBaaS / Serverless Databases | usage, $5/mo minimum (Launch) | free tier | low lock-in
neptune-ai | Neptune.ai | AI API / SDK for Developers | freemium | free tier | medium lock-in
nerdio | Nerdio | Security Scanning / Mobile App Sec | subscription | no free tier | medium lock-in
nestjs | NestJS | Backend-as-a-Service | free | free tier | low lock-in
net-maui | .NET MAUI | Release / App Store Operations | free | free tier | low lock-in
netacea | Netacea | Fraud & Risk Management | custom | no free tier | high lock-in
netbird | Netbird | Security Scanning / Mobile App Sec | freemium | free tier | low lock-in
netcore-cloud | Netcore Cloud | Messaging API (Email / SMS / Voice) | hybrid | free tier | medium lock-in
netdata | Netdata | Real-time / WebSocket Infrastructure | freemium | free tier | low lock-in
netguardians | NetGuardians | Fraud & Risk Management | custom | no free tier | high lock-in
netlify | Netlify | CDN / Edge / Acceleration | freemium, $19/mo/member (Pro) | free tier | medium lock-in
netmaker | Netmaker | CDN / Edge / Acceleration | freemium | free tier | low lock-in
netmarble-backend | Netmarble Backend (NBase) | Backend-as-a-Service | free | free tier | low lock-in
netreo | Netreo | Observability / Logging / Tracing | custom | no free tier | medium lock-in
netsfere | NetSfere | Messaging API (Email / SMS / Voice) | subscription | no free tier | medium lock-in
netskope | Netskope | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
netsparker | Netsparker | Security Scanning / Mobile App Sec | custom | no free tier | medium lock-in
netspi | NetSPI | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
netsuite-suitebilling | NetSuite SuiteBilling | Subscription Billing | custom | no free tier | high lock-in
network-international | Network International | Payment Gateway / PSP | custom | no free tier | high lock-in
networkx | NetworkX | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
neuledge | Neuledge | DBaaS / Serverless Databases | unknown | no free tier | medium lock-in
neural-magic | Neural Magic | AI API / SDK for Developers | freemium | free tier | medium lock-in
neurala | Neurala | AI API / SDK for Developers | custom | no free tier | high lock-in
neutralino | Neutralino | No-code / Low-code App Builders | free | free tier | low lock-in
neuvector | NeuVector | Security Scanning / Mobile App Sec | freemium | free tier | low lock-in
neverthrow | neverthrow | Backend-as-a-Service | free | free tier | low lock-in
new-relic | New Relic | Performance Monitoring / APM | hybrid, $0.30/GB (Standard), $49/core user | free tier | medium lock-in
newscatcher | NewsCatcher | Data Integration / ETL / Reverse ETL | subscription | free tier | low lock-in
newt-cms | Newt | Developer Portals / API Management | freemium | free tier | medium lock-in
nexon-open-api | Nexon Open API | AI API / SDK for Developers | free | free tier | low lock-in
next-auth-auth-js | Next-Auth (Auth.js) | Identity / Auth / User Management | free | free tier | low lock-in
next-intl | next-intl | Localization / Translation API | free | free tier | low lock-in
next-js | Next.js | Backend-as-a-Service | free | free tier | low lock-in
next-pwa | next-pwa | CDN / Edge / Acceleration | free | free tier | low lock-in
next-themes | next-themes | No-code / Low-code App Builders | free | free tier | low lock-in
nextbillion-ai | Nextbillion.ai | AI API / SDK for Developers | usage | free tier | medium lock-in
nextcloud | Nextcloud | Messaging API (Email / SMS / Voice) | freemium | free tier | low lock-in
nextra | Nextra | Developer Portals / API Management | free | free tier | low lock-in
nextui | NextUI | No-code / Low-code App Builders | free | free tier | low lock-in
nexus-graphql | Nexus GraphQL | Developer Portals / API Management | free | free tier | low lock-in
nexus-repository | Nexus Repository | CI/CD for Applications | freemium | free tier | medium lock-in
nftport | NFTPort | Backend-as-a-Service | freemium | free tier | medium lock-in
nginx-app-protect | NGINX App Protect | Security Scanning / Mobile App Sec | subscription | no free tier | medium lock-in
nginx-plus | Nginx Plus | Developer Portals / API Management | subscription | no free tier | medium lock-in
ngrok | ngrok | Developer Portals / API Management | subscription, $5 | free tier | medium lock-in
nhn-cloud | NHN Cloud | Backend-as-a-Service | usage | free tier | high lock-in
nhost | Nhost | Backend-as-a-Service | freemium, $25/mo | free tier | low lock-in
niantic-lightship | Niantic Lightship | Maps / Geolocation / Routing | freemium | free tier | high lock-in
nice-actimize | NICE Actimize | Fraud & Risk Management | custom | no free tier | high lock-in
nice-dnb | NICE D&B KYC | KYC / KYB / AML API | custom | no free tier | high lock-in
nice-rpa | NICE RPA | Data Integration / ETL / Reverse ETL | custom | no free tier | high lock-in
nicegui | NiceGUI | No-code / Low-code App Builders | free | free tier | low lock-in
nicepay | NicePay | Payment Gateway / PSP | usage | no free tier | high lock-in
nifcloud | NIFCLOUD | Developer Portals / API Management | usage | no free tier | high lock-in
nightcafe | NightCafe | AI API / SDK for Developers | freemium | free tier | low lock-in
nightfall-ai | Nightfall AI | Security Scanning / Mobile App Sec | subscription | free tier | medium lock-in
nighthawk | Nighthawk | Test Automation / Device Cloud | free | free tier | low lock-in
nightwatch | Nightwatch | Test Automation / Device Cloud | free | free tier | low lock-in
nile | Nile | DBaaS / Serverless Databases | freemium | free tier | low lock-in
niledb | NileDB | DBaaS / Serverless Databases | free | free tier | low lock-in
nimble-streamer | Nimble Streamer | Object Storage / Media API | freemium | free tier | medium lock-in
nimblepage | Nimblepage | Release / App Store Operations | subscription | no free tier | medium lock-in
nintex | Nintex | Data Integration / ETL / Reverse ETL | subscription | no free tier | high lock-in
nitric | Nitric | Backend-as-a-Service | freemium | free tier | low lock-in
nitric-io | Nitric.io | CDN / Edge / Acceleration | freemium | free tier | low lock-in
nitro | Nitro | Backend-as-a-Service | free | free tier | low lock-in
nitrokey | Nitrokey | Secrets Management | free | free tier | low lock-in
nium | Nium | Payments Orchestration | custom | no free tier | high lock-in
nivo | Nivo | Product Analytics | free | free tier | low lock-in
nix | Nix | CDN / Edge / Acceleration | free | free tier | low lock-in
nixtla | Nixtla | AI API / SDK for Developers | freemium | free tier | low lock-in
nltk | NLTK | AI API / SDK for Developers | free | free tier | low lock-in
nmi | NMI | Payment Gateway / PSP | subscription, $502 | no free tier | high lock-in
nni | NNI | AI API / SDK for Developers | free | free tier | low lock-in
nobl9 | Nobl9 | Observability / Logging / Tracing | freemium | free tier | medium lock-in
noca | Noca | AI API / SDK for Developers | freemium | free tier | medium lock-in
nock | Nock | Test Automation / Device Cloud | free | free tier | low lock-in
nocobase | NocoBase | No-code / Low-code App Builders | freemium | free tier | low lock-in
nocodb | Nocodb | DBaaS / Serverless Databases | freemium | free tier | low lock-in
noda | Noda | Payment Gateway / PSP | subscription | no free tier | medium lock-in
node-cache | node-cache | Backend-as-a-Service | free | free tier | low lock-in
node-cron | node-cron | CRM / Lifecycle Automation | free | free tier | low lock-in
node-fetch | node-fetch | Backend-as-a-Service | free | free tier | low lock-in
node-schedule | node-schedule | CRM / Lifecycle Automation | free | free tier | low lock-in
nodemon | nodemon | CDN / Edge / Acceleration | free | free tier | low lock-in
nodesource | NodeSource | Performance Monitoring / APM | subscription | free tier | medium lock-in
nofraud | NoFraud | Fraud & Risk Management | usage | no free tier | medium lock-in
noibu | Noibu | Crash Reporting | custom | no free tier | medium lock-in
noloco | Noloco | No-code / Low-code App Builders | subscription | free tier | medium lock-in
nomad | Nomad | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
nomic-ai | Nomic AI | AI API / SDK for Developers | freemium | free tier | low lock-in
noname-security | Noname Security | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
nops | nOps | Observability / Logging / Tracing | subscription | free tier | medium lock-in
norbr | NORBr | Payments Orchestration | custom | no free tier | medium lock-in
nordlayer | NordLayer | Security Scanning / Mobile App Sec | seat | no free tier | low lock-in
normalyze | Normalyze | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
northbeam | Northbeam | CRM / Lifecycle Automation | subscription | no free tier | medium lock-in
northflank | Northflank | CI/CD for Applications | subscription, $0/mo | free tier | medium lock-in
nose2 | nose2 | Test Automation / Device Cloud | free | free tier | low lock-in
not-diamond | Not Diamond | AI API / SDK for Developers | freemium | free tier | low lock-in
noteable | Noteable | AI API / SDK for Developers | freemium | free tier | medium lock-in
notebooklm | NotebookLM | AI API / SDK for Developers | free | free tier | high lock-in
notifiarr | Notifiarr | Messaging API (Email / SMS / Voice) | freemium | free tier | low lock-in
notificationapi | NotificationAPI | Push / In-app Messaging SDK | freemium | free tier | medium lock-in
notifyre | Notifyre | Messaging API (Email / SMS / Voice) | usage | no free tier | medium lock-in
notion | Notion | No-code / Low-code App Builders | freemium | free tier | medium lock-in
notivize | Notivize | Push / In-app Messaging SDK | subscription | no free tier | medium lock-in
notta-ai | Notta AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
notte | Notte | AI API / SDK for Developers | freemium, $20/month | free tier | medium lock-in
nous-research | Nous Research | AI API / SDK for Developers | free | free tier | low lock-in
novita-ai | Novita AI | AI API / SDK for Developers | freemium, $0.26 | free tier | low lock-in
novu | Novu | Push / In-app Messaging SDK | freemium, $0 | free tier | low lock-in
nowpayments | NOWPayments | Payment Gateway / PSP | usage | no free tier | low lock-in
nowsecure | NowSecure | Content Moderation API | subscription | free tier | medium lock-in
nox | Nox | Test Automation / Device Cloud | free | free tier | low lock-in
np | np | Release / App Store Operations | free | free tier | low lock-in
np-kakebarai | NP Kakebarai | Payment Gateway / PSP | custom | no free tier | high lock-in
npaw | NPAW (Nice People At Work) | Object Storage / Media API | custom | no free tier | high lock-in
npm-github | npm (GitHub) | CI/CD for Applications | freemium | free tier | low lock-in
nscale | Nscale | Backend-as-a-Service | usage | no free tier | medium lock-in
nsis | NSIS | CI/CD for Applications | free | free tier | low lock-in
nsubstitute | NSubstitute | Test Automation / Device Cloud | free | free tier | low lock-in
ntfy | ntfy | Push / In-app Messaging SDK | freemium | free tier | low lock-in
nuclei | Nuclei | Security Scanning / Mobile App Sec | freemium | free tier | low lock-in
nucleus-security | Nucleus Security | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
nue-io | Nue.io | Subscription Billing | custom | no free tier | high lock-in
nulab | Nulab | Identity / Auth / User Management | freemium | free tier | medium lock-in
nullitics | Nullitics | Product Analytics | freemium | free tier | low lock-in
nullstone | Nullstone | CRM / Lifecycle Automation | subscription | free tier | medium lock-in
numba | Numba | CDN / Edge / Acceleration | free | free tier | low lock-in
numeral-tax | Numeral | Invoicing / Taxes / Sales Tax | subscription | no free tier | medium lock-in
numpy | NumPy | DBaaS / Serverless Databases | free | free tier | low lock-in
numspot | NumSpot | CDN / Edge / Acceleration | usage | no free tier | high lock-in
nunit | NUnit | Test Automation / Device Cloud | free | free tier | low lock-in
nunjucks-prompt | Nunjucks Prompt | AI API / SDK for Developers | free | free tier | low lock-in
nushell | Nushell | CDN / Edge / Acceleration | free | free tier | low lock-in
nutrient | Nutrient | Object Storage / Media API | custom | no free tier | high lock-in
nuvei | Nuvei | Payment Gateway / PSP | custom | no free tier | high lock-in
nuxt | Nuxt | Backend-as-a-Service | free | free tier | low lock-in
nuxt-content | Nuxt Content | Developer Documentation / DevRel | free | free tier | low lock-in
nw-js | NW.js | No-code / Low-code App Builders | free | free tier | low lock-in
nx | Nx | CI/CD for Applications | freemium | free tier | low lock-in
nx-cloud | Nx Cloud | Monorepo & Build Systems | freemium | free tier | medium lock-in
nx-console | Nx Console | Code Assistants / Agent Tooling | free | free tier | low lock-in
nyckel | Nyckel | Localization / Translation API | unknown | no free tier | medium lock-in
nylas | Nylas | Developer Portals / API Management | subscription, $5 | free tier | medium lock-in
nymcard | NymCard | Payment Gateway / PSP | custom | no free tier | high lock-in
oak | Oak | Backend-as-a-Service | free | free tier | low lock-in
oauthlib | OAuthlib | Security Scanning / Mobile App Sec | free | free tier | low lock-in
obic | OBIC | Invoicing / Taxes / Sales Tax | custom | no free tier | high lock-in
objection-js | Objection.js | DBaaS / Serverless Databases | free | free tier | low lock-in
oblivus | Oblivus | AI API / SDK for Developers | usage | no free tier | medium lock-in
observability-platform | Observability Platform | AI API / SDK for Developers | unknown | no free tier | medium lock-in
observable | Observable | Data Integration / ETL / Reverse ETL | freemium | free tier | medium lock-in
observe-inc | Observe Inc | Observability / Logging / Tracing | usage | free tier | medium lock-in
obsidian | Obsidian | Messaging API (Email / SMS / Voice) | freemium | free tier | low lock-in
obsidian-security | Obsidian Security | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
oceanbase | OceanBase | DBaaS / Serverless Databases | freemium | free tier | medium lock-in
ocelot | Ocelot | Developer Portals / API Management | free | free tier | low lock-in
octane | Octane | Subscription Billing | usage | no free tier | medium lock-in
octant | Octant | CDN / Edge / Acceleration | free | free tier | low lock-in
octoai | OctoAI | AI API / SDK for Developers | usage | free tier | medium lock-in
octobat | Octobat | Invoicing / Taxes / Sales Tax | subscription | no free tier | medium lock-in
octomind | Octomind | Test Automation / Device Cloud | subscription, $89 | no free tier | medium lock-in
octopai | Octopai | DBaaS / Serverless Databases | custom | no free tier | high lock-in
octoperf | OctoPerf | Test Automation / Device Cloud | subscription | free tier | medium lock-in
octopus-deploy | Octopus Deploy | A/B Testing / Experimentation | subscription | free tier | medium lock-in
oden | Oden | Crash Reporting | subscription, $89 | no free tier | medium lock-in
odigos | Odigos | Observability / Logging / Tracing | freemium, $1 | free tier | high lock-in
ofetch | ofetch | Backend-as-a-Service | free | free tier | high lock-in
offensive360 | Offensive360 | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
ofox | Ofox | AI API / SDK for Developers | subscription | free tier | low lock-in
ogury | Ogury | Ad Monetization / Mediation | custom | no free tier | low lock-in
oh-dear | Oh Dear | Observability / Logging / Tracing | subscription | no free tier | high lock-in
okky | OKKY | AI API / SDK for Developers | free | free tier | high lock-in
okta | Okta | Identity / Auth / User Management | subscription, $14 per user | free tier | low lock-in
okteto | Okteto | CDN / Edge / Acceleration | freemium | free tier | medium lock-in
olark | Olark | Customer Support SDK / In-app Helpdesk | subscription, $29/month | no free tier | medium lock-in
oligo-security | Oligo Security | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
ollahub | OLLaHub | AI API / SDK for Developers | free | free tier | high lock-in
ollama | Ollama | Developer Portals / API Management | subscription, $200/yr | free tier | high lock-in
olmo | OLMo | AI API / SDK for Developers | free | free tier | high lock-in
oloid | OLOID | Identity / Auth / User Management | custom | no free tier | low lock-in
omarchy | Omarchy | No-code / Low-code App Builders | free | free tier | high lock-in
omise-opn | Omise (Opn) | Payment Gateway / PSP | usage | no free tier | medium lock-in
omnata | Omnata | Data Integration / ETL / Reverse ETL | subscription | no free tier | medium lock-in
omni-analytics | Omni Analytics | Data Integration / ETL / Reverse ETL | subscription | no free tier | medium lock-in
ona | Ona | CDN / Edge / Acceleration | freemium | free tier | medium lock-in
onafriq | Onafriq | Payment Gateway / PSP | custom | no free tier | low lock-in
ondato | Ondato | KYC / KYB / AML API | usage | no free tier | medium lock-in
one-identity | One Identity | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
onecompiler | OneCompiler | Code Assistants / Agent Tooling | freemium | free tier | high lock-in
onedev | OneDev | CRM / Lifecycle Automation | free | free tier | high lock-in
onehouse-ai | Onehouse | Data Integration / ETL / Reverse ETL | custom | no free tier | high lock-in
oneleet | Oneleet | Compliance Automation | custom | no free tier | medium lock-in
onesignal | OneSignal | Push / In-app Messaging SDK | subscription, $0/mo | free tier | medium lock-in
onetrust | OneTrust | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
oneuptime | OneUptime | Performance Monitoring / APM | freemium, $1/month | free tier | high lock-in
onfido | Onfido | KYC / KYB / AML API | usage | no free tier | medium lock-in
onlineornot | OnlineOrNot | Observability / Logging / Tracing | freemium | free tier | high lock-in
onnx-runtime | ONNX Runtime | AI API / SDK for Developers | free | free tier | high lock-in
onramper | Onramper | Payment Gateway / PSP | usage | no free tier | medium lock-in
oobeya | Oobeya | Observability / Logging / Tracing | subscription | no free tier | medium lock-in
opa-gatekeeper | OPA Gatekeeper | Security Scanning / Mobile App Sec | free | free tier | high lock-in
opa-open-policy-agent | OPA (Open Policy Agent) | Compliance Automation | free | free tier | high lock-in
opal | Opal | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
open-collective | Open Collective | Customer Support SDK / In-app Helpdesk | usage | free tier | high lock-in
open-interpreter | Open Interpreter | AI API / SDK for Developers | free | free tier | high lock-in
open-policy-agent-opa | Open Policy Agent (OPA) | Security Scanning / Mobile App Sec | free | free tier | high lock-in
open-service-mesh | Open Service Mesh | CDN / Edge / Acceleration | free | free tier | high lock-in
open-web-analytics | Open Web Analytics | Product Analytics | free | free tier | high lock-in
open-webui | Open WebUI | AI API / SDK for Developers | free | free tier | high lock-in
openagents | OpenAgents | AI API / SDK for Developers | free | free tier | high lock-in
openai | OpenAI | Developer Portals / API Management | hybrid, $20/mo (Plus), API pay-per-token | free tier | low lock-in
openai-moderation-api | OpenAI Moderation API | Localization / Translation API | unknown | no free tier | high lock-in
openapi-generator | OpenAPI Generator | Developer Portals / API Management | free | free tier | high lock-in
openapi-typescript | openapi-typescript | Developer Portals / API Management | free | free tier | high lock-in
openbao | OpenBao | Secrets Management | free | free tier | high lock-in
openbayes | OpenBayes | AI API / SDK for Developers | usage | free tier | medium lock-in
openblocks | Openblocks | No-code / Low-code App Builders | freemium | free tier | high lock-in
opencage | OpenCage | Maps / Geolocation / Routing | subscription, 0.15 | free tier | high lock-in
openchat | OpenChat | AI API / SDK for Developers | free | free tier | high lock-in
opencost | OpenCost | CDN / Edge / Acceleration | free | free tier | high lock-in
opencsg | OpenCSG | AI API / SDK for Developers | freemium | free tier | medium lock-in
opencti | OpenCTI | Security Scanning / Mobile App Sec | free | free tier | high lock-in
opencv | OpenCV | AI API / SDK for Developers | free | free tier | high lock-in
opendue | Due (OpenDue) | Payment Gateway / PSP | usage | no free tier | medium lock-in
openebs | OpenEBS | CDN / Edge / Acceleration | free | free tier | high lock-in
openfaas | OpenFaaS | CDN / Edge / Acceleration | freemium | free tier | high lock-in
openfeature | OpenFeature | Observability / Logging / Tracing | freemium | free tier | high lock-in
openfga | OpenFGA | Identity / Auth / User Management | free | free tier | high lock-in
openfx | OpenFX | Payment Gateway / PSP | custom | no free tier | low lock-in
opengrok | OpenGrok | Code Assistants / Agent Tooling | free | free tier | high lock-in
openhands | OpenHands | AI API / SDK for Developers | freemium | free tier | high lock-in
openiap | OpenIAP | In-app Purchase Optimization | free | free tier | high lock-in
openkruise | OpenKruise | CDN / Edge / Acceleration | free | free tier | high lock-in
openlit | OpenLIT | Observability / Logging / Tracing | free | free tier | high lock-in
openllmetry | OpenLLMetry | AI API / SDK for Developers | free | free tier | high lock-in
openmetadata | OpenMetadata | Data Integration / ETL / Reverse ETL | free | free tier | high lock-in
openmeter | OpenMeter | Payment Gateway / PSP | usage, $1 | free tier | high lock-in
openmldb | OpenMLDB | AI API / SDK for Developers | free | free tier | high lock-in
openobserve | OpenObserve | Performance Monitoring / APM | freemium, $0.50 | free tier | high lock-in
openpanel | OpenPanel | Product Analytics | freemium | free tier | high lock-in
openpipe | OpenPipe | AI API / SDK for Developers | usage | free tier | medium lock-in
openpix | OpenPix | Payment Gateway / PSP | usage | free tier | medium lock-in
openpyxl | openpyxl | Developer Portals / API Management | free | free tier | high lock-in
openreplay | OpenReplay | Session Replay / UX Analytics | freemium, $179/mo | free tier | high lock-in
openrouter | OpenRouter | AI API / SDK for Developers | usage | free tier | high lock-in
openrouteservice | OpenRouteService | Maps / Geolocation / Routing | freemium | free tier | high lock-in
opensearch | OpenSearch | Search / Recommendations API | free | free tier | high lock-in
openstatus | OpenStatus | Observability / Logging / Tracing | freemium | free tier | high lock-in
opensurvey | OPENSURVEY | Product Analytics | custom | no free tier | low lock-in
opentelemetry | OpenTelemetry | Observability / Logging / Tracing | free | free tier | high lock-in
opentofu | OpenTofu | CDN / Edge / Acceleration | free | free tier | high lock-in
openvas | OpenVAS | Security Scanning / Mobile App Sec | free | free tier | high lock-in
openvidu | OpenVidu | Real-time / WebSocket Infrastructure | freemium | free tier | high lock-in
openvino | OpenVINO | AI API / SDK for Developers | free | free tier | high lock-in
openvox | OpenVox | CDN / Edge / Acceleration | free | free tier | high lock-in
openx | OpenX | Ad Monetization / Mediation | custom | no free tier | low lock-in
openyurt | OpenYurt | CDN / Edge / Acceleration | free | free tier | high lock-in
openzeppelin | OpenZeppelin | Security Scanning / Mobile App Sec | freemium | free tier | high lock-in
openziti | OpenZiti | Secrets Management | free | free tier | high lock-in
opik | Opik | Observability / Logging / Tracing | freemium | free tier | high lock-in
opn-payments | Opn Payments | Payments Orchestration | custom | no free tier | low lock-in
opper-ai | Opper AI | AI API / SDK for Developers | usage | free tier | medium lock-in
opsgenie | Opsgenie | Observability / Logging / Tracing | freemium | free tier | medium lock-in
opslane | Opslane | Backend-as-a-Service | subscription | no free tier | low lock-in
opslevel | OpsLevel | Data Integration / ETL / Reverse ETL | seat | no free tier | medium lock-in
optic | Optic | Developer Portals / API Management | freemium | free tier | high lock-in
optile | Optile | Payments Orchestration | custom | no free tier | low lock-in
optimizely | Optimizely | Feature Flags / Remote Config | usage | no free tier | low lock-in
optiv | Optiv | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
optuna | Optuna | AI API / SDK for Developers | free | free tier | high lock-in
opus-clip | Opus Clip | AI API / SDK for Developers | freemium | free tier | medium lock-in
oracle-ai | Oracle AI | AI API / SDK for Developers | usage | free tier | low lock-in
oracle-cloud-infrastructure | Oracle Cloud Infrastructure | CDN / Edge / Acceleration | usage | free tier | low lock-in
oracle-container-registry | Oracle Container Registry | CDN / Edge / Acceleration | usage | free tier | medium lock-in
orama | Orama | Search / Recommendations API | freemium | free tier | high lock-in
oras | ORAS | CDN / Edge / Acceleration | free | free tier | high lock-in
orb | Orb | Subscription Billing | usage, $1 | no free tier | medium lock-in
orbit | Orbit | Observability / Logging / Tracing | subscription | free tier | medium lock-in
orbit-closed | Orbit (closed) | Customer Support SDK / In-app Helpdesk | unknown | no free tier | low lock-in
orbstack | OrbStack | Backend-as-a-Service | freemium | free tier | high lock-in
orca-security | Orca Security | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
orca-security-cspm | Orca Security CSPM | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
orchest | Orchest | AI API / SDK for Developers | free | free tier | high lock-in
orchestra | Orchestra | Data Integration / ETL / Reverse ETL | subscription | free tier | medium lock-in
ordway | Ordway | Subscription Billing | subscription | no free tier | low lock-in
origami-studio | Origami Studio | Design Tools / Design-to-Code | free | free tier | medium lock-in
orjson | orjson | Backend-as-a-Service | free | free tier | high lock-in
orkes-conductor | Orkes Conductor | Data Integration / ETL / Reverse ETL | freemium | free tier | high lock-in
orq-ai | Orq.ai | AI API / SDK for Developers | subscription | free tier | medium lock-in
ortto | Ortto | Push / In-app Messaging SDK | subscription | no free tier | medium lock-in
orum | Orum | Payment Gateway / PSP | usage | no free tier | medium lock-in
orval | Orval | Developer Portals / API Management | subscription | no free tier | high lock-in
ory | Ory | Identity / Auth / User Management | subscription, $770 | free tier | high lock-in
ory-cloud | Ory Cloud | Security Scanning / Mobile App Sec | freemium | free tier | high lock-in
ory-keto | Ory Keto | Identity / Auth / User Management | free | free tier | high lock-in
ory-kratos | Ory Kratos | Security Scanning / Mobile App Sec | free | free tier | high lock-in
osano | Osano | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
oschina | OSChina | Code Assistants / Agent Tooling | free | free tier | medium lock-in
oscilar | Oscilar | Fraud & Risk Management | custom | no free tier | low lock-in
oslo | Oslo | Identity / Auth / User Management | free | free tier | high lock-in
oso | Oso | Identity / Auth / User Management | subscription, $0 | free tier | high lock-in
osso | Osso | Fraud & Risk Management | freemium | free tier | high lock-in
ostorlab | Ostorlab | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
otomi | Otomi | CDN / Edge / Acceleration | freemium | free tier | high lock-in
otter-ai | Otter.ai | Messaging API (Email / SMS / Voice) | freemium | free tier | medium lock-in
otto-ai | Otto | No-code / Low-code App Builders | subscription | no free tier | medium lock-in
outerbase | Outerbase | DBaaS / Serverless Databases | subscription | free tier | high lock-in
outerbounds | Outerbounds | AI API / SDK for Developers | custom | no free tier | high lock-in
outline | Outline | Developer Portals / API Management | freemium | free tier | high lock-in
outlines | Outlines | AI API / SDK for Developers | free | free tier | high lock-in
outscan | Outscan | Security Scanning / Mobile App Sec | custom | no free tier | low lock-in
outseta | Outseta | Subscription Billing | subscription, $120/yr | no free tier | low lock-in
outstatic | Outstatic | No-code / Low-code App Builders | free | free tier | high lock-in
outsystems | OutSystems | No-code / Low-code App Builders | subscription | free tier | low lock-in
ovenmediaengine | OvenMediaEngine | Object Storage / Media API | free | free tier | high lock-in
